,1,2,3,4,5,6,7,8
07/04/2012 13:10,0,0,0,0,0,0,0,0
07/04/2012 13:15,0,0,0,0,0,0,0,0
07/04/2012 13:20,0,0,0,0,0,0,0,0
07/04/2012 13:25,0,0,0,0,0,0,0,0
07/04/2012 13:30,0,0,0,0,0,0,0,0
07/04/2012 13:35,0,0,0,0,0,0,0,0
07/04/2012 13:40,0,0,0,0,0,0,0,0
07/04/2012 13:45,0,0,0,0,0,0,0,0
07/04/2012 13:50,0,0,0,0,0,0,0,0
07/04/2012 13:55,0,0,0,0,0,0,0,0
07/04/2012 14:00,0,0,0,0,0,0,0,0
07/04/2012 14:05,0,0,0,0,0,0,0,0
07/04/2012 14:10,0,0,0,0,0,0,0,0
07/04/2012 14:15,0,0,0,0,0,0,0,0
07/04/2012 14:20,0,0,0,0,0,0,0,0
07/04/2012 14:25,0,0,0,0,0,0,0,0
07/04/2012 14:30,0,0,0,0,0,0,0,0
07/04/2012 14:35,0,0,0,0,0,0,0,0
07/04/2012 14:40,0,0,0,0,0,0,0,0
07/04/2012 14:45,0,0,0,0,0,0,0,0
07/04/2012 14:50,0,0,0,0,0,0,0,0
07/04/2012 14:55,0,0,0,0,0,0,0,0
07/04/2012 15:00,0,0,0,0,0,0,0,0
07/04/2012 15:05,0,0,0,0,0,0,0,0
07/04/2012 15:10,0,0,0,0,0,0,0,0
07/04/2012 15:15,0,0,0,0,0,0,0,0
07/04/2012 15:20,0,0,0,0,0,0,0,0
07/04/2012 15:25,0,0,0,0,0,0,0,0
07/04/2012 15:30,0,0,0,0,0,0,0,0
07/04/2012 15:35,0,0,0,0,0,0,0,0
07/04/2012 15:40,0,0,0,0,0,0,0,0
07/04/2012 15:45,0,0,0,0,0,0,0,0
07/04/2012 15:50,0,0,0,0,0,0,0,0
07/04/2012 15:55,0,0,0,0,0,0,0,0
07/04/2012 16:00,0,0,0,0,0,0,0,0
07/04/2012 16:05,0,0,0,0,0,0,0,0
07/04/2012 16:10,0,0,0,0,0,0,0,0
07/04/2012 16:15,0,0,0,0,0,0,0,0
07/04/2012 16:20,0,0,0,0,0,0,0,0
07/04/2012 16:25,0,0,0,0,0,0,0,0
07/04/2012 16:30,0,0,0,0,0,0,0,0
07/04/2012 16:35,0,0,0,0,0,0,0,0
07/04/2012 16:40,0,0,0,0,0,0,0,0
07/04/2012 16:45,0,0,0,0,0,0,0,0
07/04/2012 16:50,0,0,0,0,0,0,0,0
07/04/2012 16:55,0,0,0,0,0,0,0,0
07/04/2012 17:00,0,0,0,0,0,0,0,0
07/04/2012 17:05,0,0,0,0,0,0,0,0
07/04/2012 17:10,0,0,0,0,0,0,0,0
07/04/2012 17:15,0,0,0,0,0,0,0,0
07/04/2012 17:20,0,0,0,0,0,0,0,0
07/04/2012 17:25,0,0,0,0,0,0,0,0
07/04/2012 17:30,0,0,0,0,0,0,0,0
07/04/2012 17:35,0,0,0,0,0,0,0,0
07/04/2012 17:40,0,0,0,0,0,0,0,0
07/04/2012 17:45,0,0,0,0,0,0,0,0
07/04/2012 17:50,0,0,0,0,0,0,0,0
07/04/2012 17:55,0,0,0,0,0,0,0,0
07/04/2012 18:00,0,0,0,0,0,0,0,0
07/04/2012 18:05,0,0,0,0,0,0,0,0
07/04/2012 18:10,0,0,0,0,0,0,0,0
07/04/2012 18:15,0,0,0,0,0,0,0,0
07/04/2012 18:20,0,0,0,0,0,0,0,0
07/04/2012 18:25,0,0,0,0,0,0,0,0
07/04/2012 18:30,0,0,0,0,0,0,0,0
07/04/2012 18:35,0,0,0,0,0,0,0,0
07/04/2012 18:40,0,0,0,0,0,0,0,0
07/04/2012 18:45,0,0,0,0,0,0,0,0
07/04/2012 18:50,0,0,0,0,0,0,0,0
07/04/2012 18:55,0,0,0,0,0,0,0,0
07/04/2012 19:00,0,0,0,0,0,0,0,0
07/04/2012 19:05,0,0,0,0,0,0,0,0
07/04/2012 19:10,0,0,0,0,0,0,0,0
07/04/2012 19:15,0,0,0,0,0,0,0,0
07/04/2012 19:20,0,0,0,0,0,0,0,0
07/04/2012 19:25,0,0,0,0,0,0,0,0
07/04/2012 19:30,0,0,0,0,0,0,0,0
07/04/2012 19:35,0,0,0,0,0,0,0,0
07/04/2012 19:40,0,0,0,0,0,0,0,0
07/04/2012 19:45,0,0,0,0,0,0,0,0
07/04/2012 19:50,0,0,0,0,0,0,0,0
07/04/2012 19:55,0,0,0,0,0,0,0,0
07/04/2012 20:00,0,0,0,0,0,0,0,0
07/04/2012 20:05,0,0,0,0,0,0,0,0
07/04/2012 20:10,0,0,0,0,0,0,0,0
07/04/2012 20:15,0,0,0,0,0,0,0,0
07/04/2012 20:20,0,0,0,0,0,0,0,0
07/04/2012 20:25,0,0,0,0,0,0,0,0
07/04/2012 20:30,0,0,0,0,0,0,0,0
07/04/2012 20:35,0,0,0,0,0,0,0,0
07/04/2012 20:40,0,0,0,0,0,0,0,0
07/04/2012 20:45,0,0,0,0,0,0,0,0
07/04/2012 20:50,0,0,0,0,0,0,0,0
07/04/2012 20:55,0,0,0,0,0,0,0,0
07/04/2012 21:00,0,0,0,0,0,0,0,0
07/04/2012 21:05,0,0,0,0,0,0,0,0
07/04/2012 21:10,0,0,0,0,0,0,0,0
07/04/2012 21:15,0,0,0,0,0,0,0,0
07/04/2012 21:20,0,0,0,0,0,0,0,0
07/04/2012 21:25,0,0,0,0,0,0,0,0
07/04/2012 21:30,0,0,0,0,0,0,0,0
07/04/2012 21:35,0,0,0,0,0,0,0,0
07/04/2012 21:40,0,0,0,0,0,0,0,0
07/04/2012 21:45,0,0,0,0,0,0,0,0
07/04/2012 21:50,0,0,0,0,0,0,0,0
07/04/2012 21:55,0,0,0,0,0,0,0,0
07/04/2012 22:00,0,0,0,0,0,0,0,0
07/04/2012 22:05,0,0,0,0,0,0,0,0
07/04/2012 22:10,0,0,0,0,0,0,0,0
07/04/2012 22:15,0,0,0,0,0,0,0,0
07/04/2012 22:20,0,0,0,0,0,0,0,0
07/04/2012 22:25,0,0,0,0,0,0,0,0
07/04/2012 22:30,0,0,0,0,0,0,0,0
07/04/2012 22:35,0,0,0,0,0,0,0,0
07/04/2012 22:40,0,0,0,0,0,0,0,0
07/04/2012 22:45,0,0,0,0,0,0,0,0
07/04/2012 22:50,0,0,0,0,0,0,0,0
07/04/2012 22:55,0,0,0,0,0,0,0,0
07/04/2012 23:00,0,0,0,0,0,0,0,0
07/04/2012 23:05,0,0,0,0,0,0,0,0
07/04/2012 23:10,0,0,0,0,0,0,0,0
07/04/2012 23:15,0,0,0,0,0,0,0,0
07/04/2012 23:20,0,0,0,0,0,0,0,0
07/04/2012 23:25,0,0,0,0,0,0,0,0
07/04/2012 23:30,0,0,0,0,0,0,0,0
07/04/2012 23:35,0,0,0,0,0,0,0,0
07/04/2012 23:40,0,0,0,0,0,0,0,0
07/04/2012 23:45,0,0,0,0,0,0,0,0
07/04/2012 23:50,0,0,0,0,0,0,0,0
07/04/2012 23:55,0,0,0,0,0,0,0,0
08/04/2012 00:00,0,0,0,0,0,0,0,0
08/04/2012 00:05,0,0,0,0,0,0,0,0
08/04/2012 00:10,0,0,0,0,0,0,0,0
08/04/2012 00:15,0,0,0,0,0,0,0,0
08/04/2012 00:20,0,0,0,0,0,0,0,0
08/04/2012 00:25,0,0,0,0,0,0,0,0
08/04/2012 00:30,0,0,0,0,0,0,0,0
08/04/2012 00:35,0,0,0,0,0,0,0,0
08/04/2012 00:40,0,0,0,0,0,0,0,0
08/04/2012 00:45,0,0,0,0,0,0,0,0
08/04/2012 00:50,0,0,0,0,0,0,0,0
08/04/2012 00:55,0,0,0,0,0,0,0,0
08/04/2012 01:00,0,0,0,0,0,0,0,0
08/04/2012 01:05,0,0,0,0,0,0,0,0
08/04/2012 01:10,0,0,0,0,0,0,0,0
08/04/2012 01:15,0,0,0,0,0,0,0,0
08/04/2012 01:20,0,0,0,0,0,0,0,0
08/04/2012 01:25,0,0,0,0,0,0,0,0
08/04/2012 01:30,0,0,0,0,0,0,0,0
08/04/2012 01:35,0,0,0,0,0,0,0,0
08/04/2012 01:40,0,0,0,0,0,0,0,0
08/04/2012 01:45,0,0,0,0,0,0,0,0
08/04/2012 01:50,0,0,0,0,0,0,0,0
